Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771948615,50,,Aggregated,4.100000,0.000000,320,680,1000,1500,4300,9300,31000,37000,41000,41000,41000,377,0,320.0,2018.3304108065413,34.78272905340418,41202.084526012186,4630966.172413793
1771948616,50,,Aggregated,4.100000,0.000000,320,680,1000,1500,4300,9300,32000,38000,44000,44000,44000,382,0,320.0,2108.2115255237413,34.78272905340418,43828.22144799866,4755946.2486911
1771948617,50,,Aggregated,4.300000,0.000000,320,670,1000,1500,4300,9300,32000,38000,44000,44000,44000,385,0,320.0,2093.4244942910327,34.78272905340418,43828.22144799866,4719250.257142857
1771948618,50,,Aggregated,4.700000,0.000000,320,680,1000,1500,4400,11000,32000,38000,44000,44000,44000,389,0,320.0,2195.0510697199,34.78272905340418,43828.22144799866,4891162.552699229
1771948619,50,,Aggregated,4.600000,0.000000,320,680,1000,1500,4400,11000,32000,38000,44000,44000,44000,394,0,320.0,2172.9766044212884,34.78272905340418,43828.22144799866,4836459.258883249
1771948620,50,,Aggregated,4.200000,0.000000,320,680,1100,1600,4400,11000,32000,38000,44000,44000,44000,400,0,320.0,2197.2281512524933,34.78272905340418,43828.22144799866,4834914.795
1771948621,50,,Aggregated,4.200000,0.000000,320,680,1100,1500,4400,11000,32000,38000,44000,44000,44000,405,0,320.0,2175.501328619789,34.78272905340418,43828.22144799866,4782394.767901234
1771948622,50,,Aggregated,4.400000,0.000000,320,680,1100,1500,4400,11000,32000,38000,44000,44000,44000,408,0,320.0,2163.555953102974,34.78272905340418,43828.22144799866,4750905.75245098
1771948623,50,,Aggregated,4.700000,0.000000,320,670,1100,1500,4400,11000,32000,38000,44000,44000,44000,412,0,310.0,2238.386664672238,34.78272905340418,43828.22144799866,4876857.589805826
1771948624,50,,Aggregated,4.700000,0.000000,320,670,1100,1500,4400,11000,32000,38000,44000,44000,44000,418,0,310.0,2216.0098930360173,34.78272905340418,43828.22144799866,4827529.023923445
1771948625,50,,Aggregated,4.600000,0.000000,310,680,1100,1500,4400,11000,32000,38000,44000,44000,44000,423,0,310.0,2227.980672811014,34.78272905340418,43828.22144799866,4805592.652482269
1771948626,50,,Aggregated,4.600000,0.000000,320,680,1100,1500,4400,11000,32000,38000,44000,44000,44000,425,0,320.0,2223.4807792988004,34.78272905340418,43828.22144799866,4786474.042352941
1771948627,50,,Aggregated,4.500000,0.000000,310,680,1100,1500,4400,11000,32000,38000,44000,44000,44000,429,0,310.0,2214.5787685290566,34.78272905340418,43828.22144799866,4758355.680652681
1771948628,50,,Aggregated,4.300000,0.000000,320,680,1100,1500,4400,11000,32000,38000,44000,44000,44000,432,0,320.0,2205.4792288053486,34.78272905340418,43828.22144799866,4731792.944444444
1771948629,50,,Aggregated,4.300000,0.000000,320,680,1100,1500,4400,11000,32000,38000,44000,44000,44000,433,0,320.0,2201.061152549397,34.78272905340418,43828.22144799866,4721024.879907621
1771948630,50,,Aggregated,4.300000,0.000000,320,680,1100,1500,4400,11000,32000,38000,44000,44000,44000,437,0,320.0,2187.148272400046,34.78272905340418,43828.22144799866,4681531.752860412
1771948631,50,,Aggregated,4.000000,0.000000,320,680,1100,1500,4400,11000,33000,39000,54000,54000,54000,439,0,320.0,2307.729418309414,34.78272905340418,54091.775521985255,4837669.353075171
1771948632,50,,Aggregated,4.000000,0.000000,320,680,1100,1500,4400,11000,33000,39000,54000,54000,54000,440,0,320.0,2303.81265157921,34.78272905340418,54091.775521985255,4828246.706818182
1771948633,50,,Aggregated,3.300000,0.000000,320,690,1100,1600,4500,11000,37000,39000,57000,57000,57000,443,0,320.0,2428.4680771824596,34.78272905340418,57483.7100529694,4987432.051918736
1771948634,50,,Aggregated,3.200000,0.000000,320,700,1100,1600,4500,11000,37000,39000,57000,57000,57000,447,0,320.0,2423.537414218872,34.78272905340418,57483.7100529694,4990645.530201342
1771948635,50,,Aggregated,3.200000,0.000000,330,710,1200,1800,4700,11000,38000,41000,59000,59000,59000,450,0,320.0,2590.209023917301,34.78272905340418,58659.5294639701,5161980.117777778
1771948636,50,,Aggregated,2.800000,0.000000,330,710,1200,1800,4700,12000,38000,44000,59000,59000,59000,454,0,330.0,2695.6538432439283,34.78272905340418,58659.5294639701,5289629.224669604
1771948637,50,,Aggregated,2.900000,0.000000,330,710,1200,1800,4700,12000,38000,44000,59000,59000,59000,456,0,320.0,2684.5284711070185,34.78272905340418,58659.5294639701,5266459.978070175
1771948638,50,,Aggregated,2.900000,0.000000,330,710,1200,1800,4800,12000,38000,54000,59000,59000,59000,459,0,330.0,2787.0363020846644,34.78272905340418,58659.5294639701,5389578.328976035
1771948639,50,,Aggregated,2.800000,0.000000,340,730,1300,1900,5400,12000,38000,54000,59000,59000,59000,464,0,330.0,2843.535452799376,34.78272905340418,58659.5294639701,5438349.743534483
1771948640,50,,Aggregated,2.700000,0.000000,340,740,1300,2000,6000,14000,39000,54000,59000,59000,59000,468,0,340.0,3019.8590204614197,34.78272905340418,58659.5294639701,5724835.58974359
1771948641,50,,Aggregated,3.100000,0.000000,340,740,1300,2000,6000,14000,39000,54000,59000,59000,59000,474,0,340.0,3100.444629029366,34.78272905340418,58659.5294639701,5803601.888185654
1771948642,50,,Aggregated,3.100000,0.000000,340,740,1300,2000,6100,15000,41000,54000,59000,59000,59000,478,0,340.0,3186.0669090375536,34.78272905340418,58659.5294639701,5906487.560669456
